Year,Scenario,Variable_Cost_USD,Depletion_Cost_USD,Total_Unit_Cost_USD,Variable_Share_Percent,Depletion_Share_Percent
1,oversupply  ,13500.00,176.73,13676.73,98.71,1.29
2,oversupply  ,12420.00,353.45,12773.45,97.23,2.77
3,oversupply  ,11426.40,530.18,11956.58,95.57,4.43
4,oversupply  ,10512.29,706.91,11219.20,93.70,6.30
5,oversupply  ,9671.30,883.64,10554.94,91.63,8.37
6,oversupply  ,8897.60,1147.13,10044.73,88.58,11.42
7,oversupply  ,8185.79,1544.20,9730.00,84.13,15.87
8,oversupply  ,7530.93,1986.02,9516.95,79.13,20.87
9,oversupply  ,6928.45,2427.84,9356.30,74.05,25.95
10,oversupply  ,6374.18,2869.66,9243.84,68.96,31.04
11,oversupply  ,5864.24,3273.98,9138.23,64.17,35.83
12,oversupply  ,5395.10,3568.91,8964.01,60.19,39.81
13,oversupply  ,4963.50,3745.64,8709.13,56.99,43.01
14,oversupply  ,4566.42,3922.36,8488.78,53.79,46.21
15,oversupply  ,4201.10,4099.09,8300.19,50.61,49.39
16,oversupply  ,3865.01,4275.82,8140.83,47.48,52.52
17,oversupply  ,3555.81,4452.55,8008.36,44.40,55.60
18,oversupply  ,3271.35,4629.27,7900.62,41.41,58.59
19,oversupply  ,3009.64,4806.00,7815.64,38.51,61.49
20,oversupply  ,2768.87,4982.73,7751.60,35.72,64.28
21,oversupply  ,2547.36,5159.45,7706.81,33.05,66.95
22,oversupply  ,2343.57,5336.18,7679.75,30.52,69.48
23,oversupply  ,2156.09,5512.91,7668.99,28.11,71.89
24,oversupply  ,1983.60,5689.64,7673.23,25.85,74.15
25,oversupply  ,1824.91,5866.36,7691.27,23.73,76.27
26,oversupply  ,1678.92,6043.09,7722.01,21.74,78.26
27,oversupply  ,1544.60,6219.82,7764.42,19.89,80.11
28,oversupply  ,1421.04,6396.55,7817.58,18.18,81.82
29,oversupply  ,1307.35,6573.27,7880.63,16.59,83.41
30,oversupply  ,1202.76,6750.00,7952.76,15.12,84.88
1,baseline    ,13500.00,176.73,13676.73,98.71,1.29
2,baseline    ,12420.00,353.45,12773.45,97.23,2.77
3,baseline    ,11426.40,530.18,11956.58,95.57,4.43
4,baseline    ,10512.29,706.91,11219.20,93.70,6.30
5,baseline    ,9671.30,883.64,10554.94,91.63,8.37
6,baseline    ,8897.60,1060.36,9957.96,89.35,10.65
7,baseline    ,8185.79,1363.90,9549.70,85.72,14.28
8,baseline    ,7530.93,1805.72,9336.65,80.66,19.34
9,baseline    ,6928.45,2247.54,9175.99,75.51,24.49
10,baseline    ,6374.18,2689.36,9063.54,70.33,29.67
11,baseline    ,5864.24,3131.18,8995.42,65.19,34.81
12,baseline    ,5395.10,3547.34,8942.45,60.33,39.67
13,baseline    ,4963.50,3745.64,8709.13,56.99,43.01
14,baseline    ,4566.42,3922.36,8488.78,53.79,46.21
15,baseline    ,4201.10,4099.09,8300.19,50.61,49.39
16,baseline    ,3865.01,4275.82,8140.83,47.48,52.52
17,baseline    ,3555.81,4452.55,8008.36,44.40,55.60
18,baseline    ,3271.35,4629.27,7900.62,41.41,58.59
19,baseline    ,3009.64,4806.00,7815.64,38.51,61.49
20,baseline    ,2768.87,4982.73,7751.60,35.72,64.28
21,baseline    ,2547.36,5159.45,7706.81,33.05,66.95
22,baseline    ,2343.57,5336.18,7679.75,30.52,69.48
23,baseline    ,2156.09,5512.91,7668.99,28.11,71.89
24,baseline    ,1983.60,5689.64,7673.23,25.85,74.15
25,baseline    ,1824.91,5866.36,7691.27,23.73,76.27
26,baseline    ,1678.92,6043.09,7722.01,21.74,78.26
27,baseline    ,1544.60,6219.82,7764.42,19.89,80.11
28,baseline    ,1421.04,6396.55,7817.58,18.18,81.82
29,baseline    ,1307.35,6573.27,7880.63,16.59,83.41
30,baseline    ,1202.76,6750.00,7952.76,15.12,84.88
1,supply_const,13500.00,176.73,13676.73,98.71,1.29
2,supply_const,12420.00,353.45,12773.45,97.23,2.77
3,supply_const,11426.40,530.18,11956.58,95.57,4.43
4,supply_const,10512.29,706.91,11219.20,93.70,6.30
5,supply_const,9671.30,883.64,10554.94,91.63,8.37
6,supply_const,8897.60,1060.36,9957.96,89.35,10.65
7,supply_const,8185.79,1310.47,9496.26,86.20,13.80
8,supply_const,7530.93,1752.29,9283.22,81.12,18.88
9,supply_const,6928.45,2194.11,9122.56,75.95,24.05
10,supply_const,6374.18,2635.92,9010.10,70.74,29.26
11,supply_const,5864.24,3077.74,8941.99,65.58,34.42
12,supply_const,5395.10,3519.56,8914.66,60.52,39.48
13,supply_const,4963.50,3745.64,8709.13,56.99,43.01
14,supply_const,4566.42,3922.36,8488.78,53.79,46.21
15,supply_const,4201.10,4099.09,8300.19,50.61,49.39
16,supply_const,3865.01,4275.82,8140.83,47.48,52.52
17,supply_const,3555.81,4452.55,8008.36,44.40,55.60
18,supply_const,3271.35,4629.27,7900.62,41.41,58.59
19,supply_const,3009.64,4806.00,7815.64,38.51,61.49
20,supply_const,2768.87,4982.73,7751.60,35.72,64.28
21,supply_const,2547.36,5159.45,7706.81,33.05,66.95
22,supply_const,2343.57,5336.18,7679.75,30.52,69.48
23,supply_const,2156.09,5512.91,7668.99,28.11,71.89
24,supply_const,1983.60,5689.64,7673.23,25.85,74.15
25,supply_const,1824.91,5866.36,7691.27,23.73,76.27
26,supply_const,1678.92,6043.09,7722.01,21.74,78.26
27,supply_const,1544.60,6219.82,7764.42,19.89,80.11
28,supply_const,1421.04,6396.55,7817.58,18.18,81.82
29,supply_const,1307.35,6573.27,7880.63,16.59,83.41
30,supply_const,1202.76,6750.00,7952.76,15.12,84.88
1,ev_boom     ,13500.00,176.73,13676.73,98.71,1.29
2,ev_boom     ,12420.00,353.45,12773.45,97.23,2.77
3,ev_boom     ,11426.40,530.18,11956.58,95.57,4.43
4,ev_boom     ,10512.29,706.91,11219.20,93.70,6.30
5,ev_boom     ,9671.30,883.64,10554.94,91.63,8.37
6,ev_boom     ,8897.60,1060.36,9957.96,89.35,10.65
7,ev_boom     ,8185.79,1258.04,9443.83,86.68,13.32
8,ev_boom     ,7530.93,1692.23,9223.15,81.65,18.35
9,ev_boom     ,6928.45,2134.04,9062.50,76.45,23.55
10,ev_boom     ,6374.18,2575.86,8950.04,71.22,28.78
11,ev_boom     ,5864.24,3017.68,8881.92,66.02,33.98
12,ev_boom     ,5395.10,3459.50,8854.60,60.93,39.07
13,ev_boom     ,4963.50,3745.64,8709.13,56.99,43.01
14,ev_boom     ,4566.42,3922.36,8488.78,53.79,46.21
15,ev_boom     ,4201.10,4099.09,8300.19,50.61,49.39
16,ev_boom     ,3865.01,4275.82,8140.83,47.48,52.52
17,ev_boom     ,3555.81,4452.55,8008.36,44.40,55.60
18,ev_boom     ,3271.35,4629.27,7900.62,41.41,58.59
19,ev_boom     ,3009.64,4806.00,7815.64,38.51,61.49
20,ev_boom     ,2768.87,4982.73,7751.60,35.72,64.28
21,ev_boom     ,2547.36,5159.45,7706.81,33.05,66.95
22,ev_boom     ,2343.57,5336.18,7679.75,30.52,69.48
23,ev_boom     ,2156.09,5512.91,7668.99,28.11,71.89
24,ev_boom     ,1983.60,5689.64,7673.23,25.85,74.15
25,ev_boom     ,1824.91,5866.36,7691.27,23.73,76.27
26,ev_boom     ,1678.92,6043.09,7722.01,21.74,78.26
27,ev_boom     ,1544.60,6219.82,7764.42,19.89,80.11
28,ev_boom     ,1421.04,6396.55,7817.58,18.18,81.82
29,ev_boom     ,1307.35,6573.27,7880.63,16.59,83.41
30,ev_boom     ,1202.76,6750.00,7952.76,15.12,84.88
