t,oversupply,baseline,supply_constraint,ev_boom
1,15003.11,15003.11,15003.11,15003.11
2,14853.08,15228.16,15303.17,15378.19
3,14704.55,15456.58,15609.24,15762.64
4,14557.5,15688.43,15921.42,16156.71
5,14411.93,15923.75,16239.85,16560.63
6,14267.81,16162.61,16564.65,16974.64
7,14125.13,16405.05,16895.94,17399.01
8,13983.88,16651.13,17233.86,17833.98
9,13844.04,16900.89,17578.53,18279.83
10,13705.6,17154.41,17930.11,18736.83
11,13568.54,17411.72,18288.71,19205.25
12,13432.86,17672.9,18654.48,19685.38
13,13298.53,17937.99,19027.57,20177.51
14,13165.54,18207.06,19408.12,20681.95
15,13033.89,18480.17,19796.29,21199.0
16,12903.55,18757.37,20192.21,21728.98
17,12774.51,19038.73,20596.05,22272.2
18,12646.77,19324.31,21007.98,22829.01
19,12520.3,19614.18,21428.14,23399.73
20,12395.1,19908.39,21856.7,23984.72
21,12271.15,20207.01,22293.83,24584.34
22,12148.44,20510.12,22739.71,25198.95
23,12026.95,20817.77,23194.5,25828.93
24,11906.68,21130.04,23658.39,26474.65
25,11787.62,21446.99,24131.56,27136.51
26,11669.74,21768.69,24614.19,27814.93
27,11553.04,22095.22,25106.48,28510.3
28,11437.51,22426.65,25608.61,29223.06
29,11323.14,22763.05,26120.78,29953.63
30,11209.91,23104.5,26643.19,30702.48
